epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2.17153,1.48675,4.05207,0.01403,0.00809,0.66667,0.08813,0.04532,1.06707,5.62941,0.01297,0.000408286,0.000408286,0.000408286
2,3.85013,1.10514,3.76681,0.00935,0.01255,1,0.39135,0.23356,0.92313,5.56347,0.01031,0.000875861,0.000875861,0.000875861
3,5.48746,1.01568,3.43549,0.00924,0.01253,1,0.67692,0.38728,0.78019,5.40789,0.00941,0.00133401,0.00133401,0.00133401
4,7.13912,0.98492,2.98349,0.00829,0.01251,1,0.74333,0.52933,0.80143,5.18783,0.00921,0.00138656,0.00138656,0.00138656
5,8.76631,0.97819,2.76004,0.00843,0.01251,1,0.73649,0.50598,0.81806,5.1684,0.00986,0.00137241,0.00137241,0.00137241
6,10.3917,0.98048,2.43127,0.00809,1,0.19542,0.87516,0.68017,0.7437,4.83582,0.00844,0.00135826,0.00135826,0.00135826
7,12.0417,0.98521,2.40253,0.00832,0.91906,0.53333,0.97278,0.71573,0.90866,4.5835,0.01217,0.00134412,0.00134412,0.00134412
8,13.7289,1.03189,2.39621,0.00927,0.85962,0.80263,0.97595,0.71077,0.85403,4.31882,0.0118,0.00132997,0.00132997,0.00132997
9,15.3453,0.97081,2.07947,0.00804,0.81249,1,0.98389,0.71893,0.79876,4.27123,0.01005,0.00131582,0.00131582,0.00131582
10,17.0041,0.95994,2.06113,0.00856,0.80737,1,0.96167,0.70139,0.82501,4.04587,0.00914,0.00130168,0.00130168,0.00130168
11,18.6785,1.01591,1.90048,0.0087,0.81713,1,0.96167,0.73681,0.70857,3.98426,0.00853,0.00128753,0.00128753,0.00128753
12,20.3915,0.97716,1.78343,0.00794,0.89704,0.98875,0.96167,0.73556,0.88758,3.71355,0.00985,0.00127338,0.00127338,0.00127338
13,22.1208,0.97538,1.80729,0.00845,0.9318,0.95868,0.98389,0.76096,0.87306,3.5468,0.01013,0.00125923,0.00125923,0.00125923
14,23.893,0.93731,1.66679,0.00785,0.96188,0.92032,0.97595,0.75393,0.84321,3.27022,0.0099,0.00124509,0.00124509,0.00124509
15,25.5993,0.91783,1.60456,0.00758,0.96565,0.92096,0.98389,0.76261,0.96853,3.00655,0.01057,0.00123094,0.00123094,0.00123094
16,27.3222,0.93198,1.54483,0.00756,0.97178,0.9911,0.995,0.79006,0.9092,2.74439,0.01135,0.00121679,0.00121679,0.00121679
17,28.9643,0.92443,1.58488,0.00786,0.96757,0.99151,0.995,0.81609,0.89649,2.65434,0.01044,0.00120265,0.00120265,0.00120265
18,30.652,0.88039,1.56659,0.00744,0.91775,0.99266,0.97278,0.7975,0.79533,2.55511,0.00985,0.0011885,0.0011885,0.0011885
19,32.3726,0.93023,1.47661,0.00759,0.92772,0.99379,0.98389,0.76874,0.96774,2.51504,0.0117,0.00117435,0.00117435,0.00117435
20,34.1036,0.96514,1.46648,0.00824,0.9907,0.9984,0.995,0.79667,0.87006,2.38949,0.01017,0.00116021,0.00116021,0.00116021
21,35.8166,0.86233,1.37736,0.00679,0.98916,1,0.995,0.80761,0.88652,2.30339,0.01053,0.00114606,0.00114606,0.00114606
22,37.4689,0.89872,1.30572,0.00702,0.96832,0.98331,0.995,0.74852,0.96962,2.19504,0.01058,0.00113191,0.00113191,0.00113191
23,39.1231,0.90429,1.33484,0.00744,0.98589,1,0.995,0.75918,0.95836,2.13347,0.01078,0.00111776,0.00111776,0.00111776
24,40.8058,0.87306,1.24843,0.00708,0.91386,0.98753,0.98389,0.75814,0.91806,2.12217,0.01089,0.00110362,0.00110362,0.00110362
25,42.5008,0.89957,1.25378,0.00703,0.92519,0.96382,0.95056,0.73578,0.90658,2.12032,0.0109,0.00108947,0.00108947,0.00108947
26,44.1808,0.8196,1.15491,0.00684,0.92626,1,0.97278,0.74538,0.97038,2.07907,0.0108,0.00107532,0.00107532,0.00107532
27,45.8423,0.88151,1.20431,0.00721,0.92049,0.99514,0.98389,0.78317,0.90067,2.06287,0.0102,0.00106118,0.00106118,0.00106118
28,47.4494,0.84611,1.16447,0.00673,0.92575,1,0.98389,0.76542,1.0069,2.01385,0.01185,0.00104703,0.00104703,0.00104703
29,49.0673,0.87609,1.13202,0.00685,0.99228,0.99253,0.995,0.78273,1.01099,1.99188,0.01127,0.00103288,0.00103288,0.00103288
30,50.6666,0.88697,1.16783,0.00733,0.98869,0.99678,0.995,0.77263,0.94149,1.83604,0.01108,0.00101873,0.00101873,0.00101873
31,52.2872,0.9006,1.13023,0.00708,0.98608,0.99369,0.995,0.76635,0.9936,1.80645,0.01092,0.00100459,0.00100459,0.00100459
32,53.9092,0.86328,1.07765,0.00684,0.98495,1,0.995,0.76323,0.8958,1.84694,0.00951,0.00099044,0.00099044,0.00099044
33,55.5094,0.85491,1.08187,0.00704,0.98234,0.99868,0.995,0.79944,0.80282,1.79728,0.00879,0.000976293,0.000976293,0.000976293
