epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.26311,1.78705,3.36066,1.29144,0.00667,1,0.5037,0.30233,1.26399,3.30916,1.18119,0,0,0
2,0.594653,1.55605,3.9219,1.61341,0.00667,1,0.5037,0.30233,1.26399,3.30916,1.18119,0.000600667,0.000600667,0.000600667
3,0.9274,1.99192,3.12172,1.17411,0.00667,1,0.5037,0.30233,1.26399,3.30916,1.18119,0.00106933,0.00106933,0.00106933
4,1.2757,1.75065,3.57778,1.14199,0.00667,1,0.57192,0.305,0.96758,3.15963,1.02295,0.001406,0.001406,0.001406
5,1.59343,1.20171,2.58146,1.28091,0.00667,1,0.57192,0.305,0.96758,3.15963,1.02295,0.001208,0.001208,0.001208
6,1.91105,1.54404,2.45451,1.43192,0.00667,1,0.57192,0.305,0.96758,3.15963,1.02295,0.00101,0.00101,0.00101
7,2.25602,2.10556,3.45155,1.14997,0.00333,0.5,0.01547,0.00554,2.11535,3.69293,1.98195,0.000812,0.000812,0.000812
8,2.56429,1.90277,1.99627,1.23534,0.00333,0.5,0.01547,0.00554,2.11535,3.69293,1.98195,0.000614,0.000614,0.000614
9,2.87059,0.92211,1.60758,1.14032,0.00333,0.5,0.01547,0.00554,2.11535,3.69293,1.98195,0.000416,0.000416,0.000416
10,3.20545,1.65747,1.73031,1.27198,0.00333,0.5,0.0198,0.01344,2.03764,3.8493,1.87834,0.000218,0.000218,0.000218
